Size,Algorithm,Operations,Duration_ms,Memory_kb
2,Strassen,12,0.0075,5300
3,Strassen,45,0.0033,5316
5,Strassen,225,0.0089,5320
7,Strassen,637,0.0125,5320
20,Strassen,15100,0.5682,5380
50,Strassen,216553,24.0966,5616
100,Strassen,1560871,194.809,6344
200,Strassen,11106097,1773.96,9120
